Rating,Crash_Severity,Driver_VehicleNumber,Driver_InjuryType,Driver_Age,Driver_Gender,Driver_Action_Type_Cd,Driver_Airbag_Deployment,Driver_Condition_Type_Cd,Driver_Distraction_Type_Cd,Driver_Drinking_Type_Cd,Driver_Drug_Use_Cd,Driver_Ejected_From_Vehicle,Driver_Ems_Transport_Ind,Driver_Fled_Scene_Ind,Driver_Safety_Equip_Used,Driver_Vis_Obscured_Type_Cd,Summons_Issued_Cd,Vehiclenumber,Vehicle_Body_Type_Cd,Vehicle_Maneuver_Type_Cd,Speed_Before,Speed_Posted,Speed_Max_Safe,First_Crash_Event_Cd,Most_Harmful_Crash_Event_Cd,Initial_Veh_Impact_Area_Cd,Direction_Of_Travel_Cd,Route or Street Name
72,3.0,1.0,0.0,16.0,1,40,1,1,6,1,2,1,0,0,3,1,1,3,1,9,61.0,55.0,0.0,28,6,1,4,I-66 WESTBOUND
24,1.0,1.0,0.0,25.0,0,11,2,1,14,1,2,1,0,0,3,1,1,2,22,3,10.0,45.0,45.0,20,20,11,3,3500 / ROLLINS FORD ROAD
23,1.0,1.0,0.0,18.0,0,43,6,1,14,1,2,1,0,0,3,1,2,1,22,6,35.0,55.0,55.0,5,5,10,2,DULLES TOLL ROAD / ROUTE 267
31,1.0,1.0,0.0,75.0,0,11,2,1,14,1,2,1,0,0,3,1,1,2,1,3,15.0,35.0,35.0,20,20,8,3,NINE MILE ROAD
38,1.0,1.0,0.0,39.0,0,11,2,1,14,2,2,1,0,0,3,1,1,2,3,3,5.0,25.0,0.0,20,20,11,3,BATTLEFIELD PKWY NE
22,1.0,1.0,0.0,44.0,1,42,8,1,14,1,2,1,0,0,3,1,1,2,22,6,60.0,70.0,70.0,20,20,11,1,29 BYPASS
83,4.0,1.0,0.0,25.0,0,39,2,9,14,1,3,1,0,0,8,1,3,1,1,1,25.0,25.0,25.0,19,19,12,3,ARLINGTON RD
23,1.0,1.0,0.0,0.0,0,1,2,1,0,0,0,1,0,0,9,1,0,3,1,11,0.0,25.0,0.0,20,20,6,0,NORTH CRATER RD
18,1.0,1.0,0.0,66.0,1,40,2,1,14,2,2,1,0,0,9,1,2,1,2,1,10.0,25.0,25.0,28,1,12,2,2409 Pine Grove Road
23,1.0,1.0,0.0,22.0,0,12,2,1,1,1,2,1,0,0,3,1,1,2,22,1,25.0,55.0,0.0,20,20,12,3,I-581
69,3.0,1.0,0.0,48.0,0,12,1,1,14,1,2,1,1,0,3,1,1,3,1,1,60.0,55.0,0.0,20,20,12,4,WESTBOUND INTERSTATE 264
20,1.0,1.0,0.0,16.0,1,22,6,1,14,1,2,1,0,0,3,1,2,2,1,3,5.0,25.0,0.0,20,20,8,2,7100 RODOPHIL ROAD
30,1.0,1.0,0.0,17.0,1,12,2,1,14,1,2,1,0,0,3,1,1,2,2,1,25.0,45.0,0.0,20,20,12,3,RT 11/ COMMERCE RD
61,3.0,1.0,0.0,32.0,1,32,2,1,0,1,2,1,0,0,3,1,2,1,1,9,45.0,45.0,45.0,28,2,1,3,CARDWELL RD
14,1.0,1.0,0.0,24.0,0,12,2,1,14,1,2,1,0,0,3,1,1,2,1,1,20.0,35.0,0.0,20,20,12,1,1313 INDIAN LAKES BLVD
21,1.0,1.0,0.0,55.0,1,3,2,1,14,1,2,1,0,0,3,1,1,1,1,9,65.0,70.0,55.0,28,1,12,3,INTERSTATE 81
37,1.0,1.0,0.0,18.0,1,32,1,1,14,1,2,1,0,0,3,1,2,1,1,15,25.0,25.0,25.0,20,13,1,2,MARYLAND AVE
21,1.0,1.0,0.0,35.0,1,42,2,1,7,1,2,1,0,0,3,11,1,2,1,14,40.0,60.0,60.0,20,20,5,4,INTERSTATE 64 WEST
21,1.0,1.0,0.0,19.0,1,40,2,1,14,1,2,1,0,0,3,2,1,2,1,9,75.0,70.0,70.0,20,20,12,1,I-81
