Route or Street Name,avg_crash_severity,adjusted_safety_rating
 BAUGHMAN AVE,1.0,81.47710787695678
 Cummings Street,4.0,60.19734551238405
 E ROANOKE ST,1.0,81.47710787695678
 ENGLAND STREET,1.0,81.47710787695678
 East Main Street,1.0,81.47710787695678
 East Valley Street,2.3333333333333335,48.91758314781132
 Fourth St.,2.0,71.0505204220992
 Franklin St,3.0,60.62393296724162
 Leaf Rd,2.0,71.0505204220992
 Lowry Drive,1.0,81.47710787695678
 MERRIMAC ROAD,3.0,60.62393296724162
 N Center Street,1.0,81.47710787695678
 PEPPERS FERRY RD.,3.0,60.62393296724162
 PRICES FORK RD,1.0,81.47710787695678
 RADFORD ROAD,3.0,60.62393296724162
 Roanoke RD,1.0,81.47710787695678
 S MAIN ST,1.0,81.47710787695678
 SECOND ST,1.0,81.47710787695678
 WADSWORTH,2.0,71.0505204220992
 WB 460,1.0,81.47710787695678
 West Main ST.,1.0,81.47710787695678
 West Main St,1.0,81.47710787695678
 West Main Street,2.0,71.0505204220992
!-95,1.0,81.47710787695678
#0028/CENTREVILLE ROAD,1.0,81.47710787695678
#0028/NOKESVILLE ROAD,1.0,81.47710787695678
#0294/PRINCE WILLIAM PARKWAY,1.0,81.47710787695678
#0619/BRISTOW ROAD,1.0,81.47710787695678
#0619BRISTOW ROAD,3.0,60.62393296724162
#0674/WELLINGTON RD,3.0,60.62393296724162
#0757/HAWKINS DRIVE,1.0,81.47710787695678
#0779/CHAPEL SPRINGS ROAD,1.0,81.47710787695678
(0234) DUMFRIES RD,3.0,60.62393296724162
(0636)FEATHESTONE DR,1.0,81.47710787695678
(1257) BOTTS AVE,1.0,81.47710787695678
(1289) WARREN DR,1.0,81.47710787695678
(ROUTE 57) CHATHAM ROAD,4.0,60.19734551238405
(RT250) W BROAD ST,1.0,80.62393296724161
(RT250) W. BROAD ST,1.5,49.344170602668896
(RT250) W.BROAD ST,3.0,60.62393296724162
(RT250)W. BROAD ST,1.0,81.47710787695678
(RT271) POUNCEY TRACT RD,1.0,81.47710787695678
(RT639) LADYSMITH RD,1.0,81.47710787695678
(RT73) PARHAM RD,1.0,81.47710787695678
(SR676) WILLIE CRAIG ROAD,2.0,71.0505204220992
/LINTON HALL RD,1.0,81.47710787695678
0,1.0,81.47710787695678
0 BLK EXIT S WAY TO WONJU ST SW,3.0,60.62393296724162
0 BLK OF E CARROLLTON AVE,1.0,81.47710787695678
0 BLK OF EXIT S XWAY,1.0,81.47710787695678
0 BLOCK EXIT TO AVIATION DR,1.0,81.47710787695678
0 HULL STREET,1.0,81.47710787695678
0-BLK BROOKFIELD DR,4.0,60.19734551238405
